"DutchBase","EnglishBase"
"50_Pomp","D5_Pump"
"50_Pomp_toerengeregeld","D5_Pump_speed_controlled"
"50_Pomp_tweevoudig_toerental","D5_Pump_dual_speed"
"53_Boiler","D3_Boiler"
"55_Drycooler","D3_Drycooler"
"57_Ventilator","D3_Fan"
"57_Ventilator_afblaas","D3_Fan_exhaust"
"57_Ventilator_axiaal","D3_Fan_axial"
"57_Ventilator_stuwdruk","D3_Fan_booster"
"57_WTW_unit","D3_HRV_unit"
"60_Paneel_half","D5_Panel_half"
"60_Paneel_kruis","D5_Panel_cross"
"60_Paneel_kruis_2","D5_Panel_cross_2"
"60_Paneel_kruis_leeg","D5_Panel_cross_empty"
"60_Paneel_leeg","D5_Panel_empty"
"61_Kilowatuurmeter","D5_Energy_meter"
"61_Verdeelinrichting","D5_Distribution_panel"
"64_Patchkast","D6_Data_cabinet"
"55_Drycooler_sectie","D3_Drycooler_section"
"57_Fan_coil_unit","D3_Fan_coil_unit"
"57_Luchtbehandelingskast_warmtewiel","D3_Air_handling_unit"
