"DutchBase","EnglishBase"
"52_Ontlastput","D2_Storage_pit"
"52_Riolering_afvoerpunt","D2_Sewage_connection"
"52_Toilet_Inbouwreservoir","D2_Toilet_built_in_reservoir"
"52_Vloerput","D2_Floor_drain"
"53_Brandslanghaspel","D4_Fire_hose_reel"
"53_Brandslanghaspelkast","D4_Fire_hose_reel_cabinet"
"53_Oogdouche","D2_Eye_wash"
"53_Tappunt gevelkraan","D2_Tap_point_facade_tap"
"53_Tappunt koud water","D2_Tap_point_cold_water"
"53_Tappunt warm koud water","D2_Tap_point_hot_cold_water"
"53_Tappunt warm water","D2_Tap_point_hot_water"
"53_Watermeter","D2_Water_meter"
"54_Aansluitpunt_CO2","D3_CO2_connection_point"
"54_Aansluitpunt_perslucht","D3_Compressed_air_connection_point"
"54_Aansluitpunt_stikstof","D4_Nitrogen_connection_point"
"54_Aansluitpunt_vacuum","D4_Vacuum_connection_point"
"54_Aansluitpunt_zuurstof","D4_Oxygen_connection_point"
"56_Radiator_Type22","D3_Radiator_Type22"
"56_Radiator_Type33","D3_Radiator_Type33"
"56_Stralingspaneel","D3_Radiation_panel"
"57_Dakkap","D3_Roof_cap"
"57_Inductieunit_toevoer","D3_Induction_unit_supply"
"57_Lijnrooster","D3_Linear_grille"
"57_Nozzle","D3_Nozzle"
"57_Rozet","D3_Air_socket"
"57_Stromingspijl_retour","D3_Flow_arrow_return"
"57_Stromingspijl_toevoer","D3_Flow_arrow_supply"
"57_Ventilatierooster","D3_Ventilation_grille_round"
"57_Ventilatierooster_rechthoekig","D3_Ventilation_grille_rectangular"
"57_Ventilatierooster_rh_toevoer","D3_Ventilation_grille_rh_supply"
"57_Ventilatierooster_rh_toevoer_2","D3_Ventilation_grille_rh_supply_2"
"57_Ventilatierooster_rond_toevoer","D3_Ventilation_grille_round_supply"
"57_Wandrooster","D3_Wall_grille"
"57_Wandrooster_plenum","D3_Wall_grille_plenum"
"58_CO_LPG_Detector","D8_CO_LPG_detector"
"58_Opnemer_temperatuur","D8_Temperature_sensor"
"58_Thermostaat_1","D8_Thermostat_1"
"58_Thermostaat_2","D8_Thermostat_2"
"59_Droge_blusleiding_Brandkraan","D4_Dry_riser_fire_hydrant"
"59_Droge_blusleiding_Gevelkast","D4_Dry_riser_facade_cabinet"
"59_Sprinklerkop","D4_Sprinkler_head"
"61_Aarding_CAP","D5_Earthing_central_earthing_connection"
"61_Aarding_potentiaalvereffening","D5_Earthing_equipotential_bonding"
"61_Aardingsmat","D5_Grounding_mat"
"61_Aardpen","D5_Earthing_rod"
"61_Kilowatuurmeter","D5_Kilowatt_meter"
"62_Aansluitpunt","D5_Connection_point"
"62_Aansluitpunt_400V_3FPE","D5_Connection_point_400V_3FPE"
"62_Aansluitpunt_zonwering","D5_Connection_point_Sun_Screen"
"62_Sleutelbuis","D5_Key_locker"
"62_Wandcontactdoos","D5_Wall_socket"
"62_Wandcontactdoos_230V","D5_Wall_socket_230V"
"62_Wandcontactdoos_2voudig","D5_Wall_socket_double"
"62_Wandcontactdoos_2voudig_USB","D5_Wall_socket_double_USB"
"62_Wandcontactdoos_3voudig","D5_Wall_socket_triple"
"62_Wandcontactdoos_400V_3FPE","D5_Wall_socket_400V_3FPE"
"62_Wandcontactdoos_4voudig","D5_Wall_socket_quadruple"
"62_Wandcontactdoos_perilex","D5_Wall_socket_perilex"
"62_Wandcontactdoos_USB","D5_Wall_socket_USB"
"63_Armatuur_rechthoekig","D5_Luminaire_rectangular"
"63_Armatuur_rechthoekig_nood","D5_Luminaire_rectangular_emergency"
"63_Armatuur_rechthoekig_waterdicht","D5_Luminaire_rectangular_waterproof"
"63_Armatuur_rh_wand","D5_Luminaire_rh_wall"
"63_Armatuur_rh2_wand","D5_Luminaire_rh2_wall"
"63_Armatuur_rond","D5_Luminaire_round"
"63_Armatuur_rond_nood","D5_Luminaire_round_emergency"
"63_Armatuur_rond_wand","D5_Luminaire_round_wall"
"63_Armatuur_rond_wand_nood","D5_Luminaire_round_wall_emergency"
"63_Armatuur_rond_wand_waterdicht","D5_Luminaire_round_wall_waterproof"
"63_Armatuur_rond_waterdicht","D5_Luminaire_round_waterproof"
"63_Armatuur_spot","D5_Luminaire_spot"
"63_Armatuur_spot_nood","D5_Luminaire_spot_emergency"
"63_Armatuur_spot_waterdicht","D5_Luminaire_spot_waterproof"
"63_Bewegingsensor","D5_Motion_sensor"
"63_Bewegingsensor_wand","D5_Motion_sensor_wall"
"63_Centraaldoos","D5_Junction_box"
"63_Draadloze_oplader","D5_Wireless_charger"
"63_LUTO","D5_LUTO"
"63_Noodschakelaar","D5_Switch_emergency"
"63_Schakelaar","D5_Switch"
"63_Schakelaar_2voudig","D5_Switch_double"
"63_Schakelaar_dimmer","D5_Switch_dimmer"
"63_Schakelaar_elleboog","D5_Switch_elbow"
"63_Schakelaar_op_neer","D5_Switch_up_down"
"63_Schakelaar_trekkoord","D5_Switch_pull_cord"
"63_Schakelaar_wcd_combi","D5_Switch_socket_combo"
"63_Schakelaar_wcd_combi_wissel","D5_Switch_socket_combo_changeover"
"63_Schakelaar_wissel","D5_Switch_changeover"
"63_Signaallamp","D5_Signal_lamp"
"63_Vluchtroute_links","D5_Escape_route_left"
"63_Vluchtroute_omhoog","D5_Escape_route_up"
"63_Vluchtroute_omlaag","D5_Escape_route_down"
"63_Vluchtroute_rechts","D5_Escape_route_right"
"63_Vluchtroute_trap_neer_links","D5_Escape_route_stair_down_left"
"63_Vluchtroute_trap_neer_rechts","D5_Escape_route_stair_down_right"
"63_Vluchtroute_trap_op_links","D5_Escape_route_stair_left"
"63_Vluchtroute_trap_op_rechts","D5_Escape_route_stair_right"
"64_Intercom","D6_Intercom"
"64_Intercom_video","D6_Video_intercom"
"64_Speaker","D6_Speaker"
"65_Aansluitpunt_bedraad","D7_Wired_connection_point"
"65_Aansluitpunt_onbedraad","D7_Wireless_connection_point"
"65_Alarmlicht_flits","D7_Security_Flash_light"
"65_Alarmlicht_zwaai","D7_Security_Beacon_light"
"65_Beeldscherm","D7_Display_screen"
"65_Codebedienpaneel","D7_Code_control_panel"
"65_Datapunt","D7_Data_point"
"65_Datapunt_2voudig","D7_Data_point_double"
"65_Datapunt_3voudig","D7_Data_point_triple"
"65_Datapunt_4voudig","D7_Data_point_quadruple"
"65_Deursignalering","D7_Door_signaling"
"65_Handbrandmelder","D7_Manual_fire_alarm"
"65_Inbraakcentrale","D7_Burglar_alarm_central"
"65_Interlocklampen","D7_Interlock_lights"
"65_Kaartlezer","D7_Card_reader"
"65_Multimelder","D7_Multi_detector"
"65_Nevenindicator","D7_Remote_indicator"
"65_Optische_melder","D7_Optical_detector"
"65_Optische_melder_alternatief","D7_Optical_detector_alternative"
"65_Sensor_long_beam","D7_Security_sensor_long_beam"
"65_Sensor_PIR_360_graden","D7_Security_sensor_PIR_360"
"65_Sensor_PIR_90_graden","D7_Motion_detector_90_degrees"
"65_Sirene_inbraak","D7_Security_alarm"
"65_Sleutelkluis","D7_Key_safe"
"65_Speaker_ontruiming","D7_Evacuation_speaker"
"65_Thermische_melder","D7_Thermal_detector"
"65_Thermo_optische_melder","D7_Thermo_optical_detector"
"74_Toilet","D2_Toilet"
"74_Uitstortgootsteen","D2_Pour_out_sink"
"74_Urinoir","D2_Urinal"
"74_Wastafel","D2_Sink"
"56_Vloerverwarming","D3_Underfloor_heating"
"57_Demper","D3_Damper"
"57_Deurspleet","D3_Door_slot"
"61_PV_paneel","D5_Solar_panel"
"63_Schakelaar_pulsdrukker","D5_Switch_pulse"
"65_Beldrukker","D7_Doorbell"
"65_Camera","D7_Camera"
"65_Camera_beweegbaar","D7_Camera_movable"
"65_Camera_dome","D7_Camera_dome"
"65_Kleefmagneet","D7_Door_holder_magnet"
"74_Bad","D2_Bath"
"74_Douchebak","D2_Shower_tray"
