filename,category,englishLabel,discipline
D2_Bath.svg,terminal,Bath,
D2_Eye_wash.svg,terminal,Eye wash,
D2_Floor_drain.svg,terminal,Floor drain,
D2_Pour_out_sink.svg,terminal,Pour out sink,
D2_Sewage_connection.svg,terminal,Sewage connection,
D2_Shower_tray.svg,terminal,Shower tray,
D2_Sink.svg,terminal,Sink,
D2_Storage_pit.svg,terminal,Storage pit,
D2_Tap_point_cold_water.svg,terminal,Tap point cold water,
D2_Tap_point_facade_tap.svg,terminal,Tap point facade tap,
D2_Tap_point_hot_cold_water.svg,terminal,Tap point hot cold water,
D2_Tap_point_hot_water.svg,terminal,Tap point hot water,
D2_Toilet_built_in_reservoir.svg,terminal,Toilet built in reservoir,
D2_Toilet.svg,terminal,Toilet,
D2_Urinal.svg,terminal,Urinal,
D2_Water_meter.svg,terminal,Water meter,
D3_Air_socket.svg,terminal,Air socket,
D3_CO2_connection_point.svg,terminal,CO2 connection point,
D3_Compressed_air_connection_point.svg,terminal,Compressed air connection point,
D3_Damper.svg,terminal,Damper,
D3_Door_slot.svg,terminal,Door slot,
D3_Flow_arrow_return.svg,terminal,Flow arrow return,
D3_Flow_arrow_supply.svg,terminal,Flow arrow supply,
D3_Induction_unit_supply.svg,terminal,Induction unit supply,
D3_Linear_grille.svg,terminal,Linear grille,
D3_Nozzle.svg,terminal,Nozzle,
D3_Radiation_panel.svg,terminal,Radiation panel,
D3_Radiator_Type22.svg,terminal,Radiator Type22,
D3_Radiator_Type33.svg,terminal,Radiator Type33,
D3_Roof_cap.svg,terminal,Roof cap,
D3_Underfloor_heating.svg,terminal,Underfloor heating,
D3_Ventilation_grille_rectangular.svg,terminal,Ventilation grille rectangular,
D3_Ventilation_grille_rh_supply_2.svg,terminal,Ventilation grille rh supply 2,
D3_Ventilation_grille_rh_supply.svg,terminal,Ventilation grille rh supply,
D3_Ventilation_grille_round_supply.svg,terminal,Ventilation grille round supply,
D3_Ventilation_grille_round.svg,terminal,Ventilation grille round,
D3_Wall_grille_plenum.svg,terminal,Wall grille plenum,
D3_Wall_grille.svg,terminal,Wall grille,
D4_Dry_riser_facade_cabinet.svg,terminal,Dry riser facade cabinet,
D4_Dry_riser_fire_hydrant.svg,terminal,Dry riser fire hydrant,
D4_Fire_hose_reel_cabinet.svg,terminal,Fire hose reel cabinet,
D4_Fire_hose_reel.svg,terminal,Fire hose reel,
D4_Nitrogen_connection_point.svg,terminal,Nitrogen connection point,
D4_Oxygen_connection_point.svg,terminal,Oxygen connection point,
D4_Sprinkler_head.svg,terminal,Sprinkler head,
D4_Vacuum_connection_point.svg,terminal,Vacuum connection point,
D5_Connection_point_400V_3FPE.svg,terminal,Connection point 400V 3FPE,
D5_Connection_point_Sun_Screen.svg,terminal,Connection point Sun Screen,
